C000;Ondartet svulst på utside av overleppe
C001;Ondartet svulst på utside av underleppe
C002;Ondartet svulst på utside av leppe, uspesifisert
C003;Ondartet svulst på innside av overleppe
C004;Ondartet svulst på innside av underleppe
C005;Ondartet svulst på innside av leppe, uspesifisert
C006;Ondartet svulst i munnvik
C008;Overlappende ondartet svulst i leppe
C009;Ondartet svulst på uspesifisert del av leppe
C01;Ondartet svulst i tungerot
C020;Ondartet svulst på fremre to tredjedeler av overside av tunge
C021;Ondartet svulst på tungerand
C022;Ondartet svulst på fremre to tredjedeler av underside av tunge
C023;Ondartet svulst i uspesifisert del av fremre to tredjedeler av tunge
C024;Ondartet svulst i tungemandel
C028;Overlappende ondartet svulst i tunge
C029;Ondartet svulst på uspesifisert del av tunge
C030;Ondartet svulst i tannkjøtt i overkjeve
C031;Ondartet svulst i tannkjøtt i underkjeve
C039;Ondartet svulst med uspesifisert lokalisasjon i tannkjøtt
C040;Ondartet svulst i fremre del av munngulv
C041;Ondartet svulst i laterale del av munngulv
C048;Overlappende ondartet svulst i munngulv
C049;Ondartet svulst i uspesifisert del av munngulv
C050;Ondartet svulst i hard gane
C051;Ondartet svulst i bløt gane
C052;Ondartet svulst i drøvel
C058;Overlappende ondartet svulst i gane
C059;Ondartet svulst med uspesifisert lokalisasjon i gane
C060;Ondartet svulst i kinnslimhinne
C061;Ondartet svulst i vestibulum oris
C062;Ondartet svulst i retromolært område
C068;Overlappende ondartet svulst i annen eller uspesifisert del av munn
C069;Ondartet svulst i uspesifisert del av munn
C07;Ondartet svulst i ørespyttkjertel
C080;Ondartet svulst i submandibularspyttkjertel
C081;Ondartet svulst i sublingvalspyttkjertel
C088;Overlappende ondartet svulst i stor spyttkjertel
C089;Ondartet svulst i uspesifisert stor spyttkjertel
C090;Ondartet svulst i tonsilleseng
C091;Ondartet svulst i ganebue
C098;Overlappende ondartet svulst i tonsille
C099;Ondartet svulst med uspesifisert lokalisasjon i tonsille
C100;Ondartet svulst i vallecula epiglottica
C101;Ondartet svulst på fremre overflate av strupelokk
C102;Ondartet svulst på sidevegg i oropharynx
C103;Ondartet svulst på bakvegg i oropharynx
C104;Ondartet svulst i gjellebuespalte
C108;Overlappende ondartet svulst i oropharynx
C109;Ondartet svulst i uspesifisert del av oropharynx.
C110;Ondartet svulst på øvre vegg i nasopharynx
C111;Ondartet svulst på bakre vegg i nasopharynx
C112;Ondartet svulst på sidevegg i nasopharynx
C113;Ondartet svulst på fremre vegg i nasopharynx
C118;Overlappende ondartet svulst i nasopharynx
C119;Ondartet svulst i uspesifisert del av nasopharynx
C12;Ondartet svulst i sinus piriformis
C130;Ondartet svulst i postkrikoidalt område
C131;Ondartet svulst på hypofaryngeal side av plica aryepiglottica
C132;Ondartet svulst på bakre vegg i hypopharynx
C138;Overlappende ondartet svulst i hypopharynx
C139;Ondartet svulst i uspesifisert del av hypopharynx,
C140;Ondartet svulst i uspesifisert del av svelg
C142;Ondartet svulst i Waldeyers ring
C148;Overlappende ondartet svulst i leppe, munnhule eller svelg
C153;Ondartet svulst i øvre tredjedel av spiserør
